Class	Length	Reads
Clean_Reads	15	76972
Clean_Reads	16	62787
Clean_Reads	17	56270
Clean_Reads	18	65004
Clean_Reads	19	61963
Clean_Reads	20	75245
Clean_Reads	21	102853
Clean_Reads	22	175769
Clean_Reads	23	97410
Clean_Reads	24	87714
Clean_Reads	25	80496
Clean_Reads	26	100262
Clean_Reads	27	216104
Clean_Reads	28	492964
Clean_Reads	29	733313
Clean_Reads	30	1565099
Clean_Reads	31	747947
Clean_Reads	32	463168
Clean_Reads	33	284505
Clean_Reads	34	168226
Clean_Reads	35	113781
Clean_Reads	36	149836
Clean_Reads	37	73844
Clean_Reads	38	45384
Clean_Reads	39	54803
Clean_Reads	40	36658
Clean_Reads	41	71578
Clean_Reads	42	21089
Clean_Reads	43	20623
Clean_Reads	44	11696
Clean_Reads	45	7103
Match_Genome	15	76953
Match_Genome	16	62259
Match_Genome	17	52355
Match_Genome	18	59061
Match_Genome	19	50293
Match_Genome	20	57109
Match_Genome	21	86413
Match_Genome	22	153043
Match_Genome	23	83289
Match_Genome	24	72703
Match_Genome	25	58978
Match_Genome	26	56711
Match_Genome	27	103924
Match_Genome	28	365438
Match_Genome	29	328070
Match_Genome	30	1389675
Match_Genome	31	692260
Match_Genome	32	429816
Match_Genome	33	256702
Match_Genome	34	115352
Match_Genome	35	67970
Match_Genome	36	48882
Match_Genome	37	48954
Match_Genome	38	31844
Match_Genome	39	25781
Match_Genome	40	19889
Match_Genome	41	27694
Match_Genome	42	14976
Match_Genome	43	15682
Match_Genome	44	7322
Match_Genome	45	3490
miRBase-miRNA_Match_Genome	15	893.00
miRBase-miRNA_Match_Genome	16	1439.00
miRBase-miRNA_Match_Genome	17	1145.00
miRBase-miRNA_Match_Genome	18	1504.00
miRBase-miRNA_Match_Genome	19	3541.00
miRBase-miRNA_Match_Genome	20	12054.00
miRBase-miRNA_Match_Genome	21	38353.00
miRBase-miRNA_Match_Genome	22	87588.00
miRBase-miRNA_Match_Genome	23	28598.00
miRBase-miRNA_Match_Genome	24	14438.00
miRBase-miRNA_Match_Genome	25	1168.00
miRBase-miRNA_Match_Genome	26	705.00
miRBase-miRNA_Match_Genome	27	737.00
miRBase-miRNA_Match_Genome	28	148.00
miRBase-miRNA_Match_Genome	29	98.00
miRBase-miRNA_Match_Genome	30	170.00
miRBase-miRNA_Match_Genome	31	93.00
miRBase-miRNA_Match_Genome	32	47.00
miRBase-miRNA_Match_Genome	33	36.00
miRBase-miRNA_Match_Genome	34	24.00
miRBase-miRNA_Match_Genome	35	33.00
miRBase-miRNA_Match_Genome	36	6.00
miRBase-miRNA_Match_Genome	38	5.00
miRBase-miRNA_Match_Genome	39	5.00
miRBase-miRNA_Match_Genome	40	8.00
miRBase-miRNA_Match_Genome	41	14.00
miRBase-miRNA_Match_Genome	44	4.00
miRBase-miRNA_Unmatch_Genome	24	1.00
miRBase-miRNA_Unmatch_Genome	29	1.00
rRNAdb-rRNA_Match_Genome	15	53652.00
rRNAdb-rRNA_Match_Genome	16	36377.00
rRNAdb-rRNA_Match_Genome	17	23698.00
rRNAdb-rRNA_Match_Genome	18	23277.00
rRNAdb-rRNA_Match_Genome	19	22276.00
rRNAdb-rRNA_Match_Genome	20	22842.00
rRNAdb-rRNA_Match_Genome	21	24282.00
rRNAdb-rRNA_Match_Genome	22	26253.00
rRNAdb-rRNA_Match_Genome	23	29949.00
rRNAdb-rRNA_Match_Genome	24	27962.00
rRNAdb-rRNA_Match_Genome	25	29618.00
rRNAdb-rRNA_Match_Genome	26	24893.00
rRNAdb-rRNA_Match_Genome	27	21214.00
rRNAdb-rRNA_Match_Genome	28	24859.00
rRNAdb-rRNA_Match_Genome	29	21392.00
rRNAdb-rRNA_Match_Genome	30	22072.00
rRNAdb-rRNA_Match_Genome	31	21112.00
rRNAdb-rRNA_Match_Genome	32	16126.00
rRNAdb-rRNA_Match_Genome	33	19722.00
rRNAdb-rRNA_Match_Genome	34	18254.00
